,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,0.013914158,0.122366175,0.008367581,,0.013004105,0.150529876,0.01086459,,0.012967443,0.139943302,0.011899026,,0.014179127,0.210632995,0.012208018
,id,budget,release_year,geners_popularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012091516,,,,0.012176012,,,,0.013280446,,,,0.018746948,,
,0.183991536,0.501748204,0.146229014,0.16803129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024325518,,,,0.015030262,,,,0.020693544,,,,0.022405474,,
,id,runtime,release_month ,release_day,release_year,release_dayofweek,release_quarter,high_budget_adjacency,is_collection ,has_homepage,original_title_letter_count,original_title_word_count,overview_word_count,num_genres,genres_popularity,num_keywords,keywords_popularity,num_prod_companies,prod_companies_popularity,num_producers,producers_popularity,num_crew,num_director,director_popularity ,num_prod_countries,prod_countries_popularity,language,num_spoken_lang ,num_cast,num_females ,is_lead_female,cast_popularity ,top5_popularity,,,,,,,,,0.015591311,,,,0.013566246,,,,0.014983375,,,,0.020705843,,
,0.014179127,0.028155917,0.018247463,0.017943405,0.0273418,0.023194347,0.021183217,0.017349267,0.210632995,0.041240554,0.016921887,0.014317103,0.01554939,0.018746948,0.022405474,0.020705843,0.018893844,0.035453614,0.111207955,0.026320836,0.02107258,0.026504492,0.012208018,0.013478627,0.016369393,0.019663515,0.020419864,0.023601426,0.045026287,0.023343362,0.013296283,0.019005412,0.026019851,,,,,,,,,0.025009988,,,,0.02282192,,,,0.023195257,,,,0.018893844,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014470493,,,,0.014508731,,,,0.015530094,,,,0.035453614,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023374854,,,,0.016175728,,,,0.018080175,,,,0.111207955,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055247795,,,,0.058045689,,,,0.040960178,,,,0.026320836,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021461796,,,,0.016905755,,,,0.018000949,,,,0.02107258,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013703447,,,,0.014944315,,,,0.016259307,,,,0.026504492,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020927548,,,,0.024626831,,,,0.020349264,,,,0.012208018,,
